human_resistance,gsr_average,emotion
27,429,Mutlu Durum
-8,17,Rahatlamış Durum
31,182,Heyecanlı Durum
22,25,Rahatlamış Durum
17,25,Rahatlamış Durum
28,466,Mutlu Durum
17,149,Heyecanlı Durum
24,132,Şaşırmış Durum
-2489,41,Üzgün Durum
0,219,Şaşırmış Durum
-96,128,Üzgün Durum
2,169,Şaşırmış Durum
-6,188,Heyecanlı Durum
-33,14,Rahatlamış Durum
-2527,538,Üzgün Durum
27,377,Mutlu Durum
-76,12,Sinirli Durum
30,120,Heyecanlı Durum
-76,50,Heyecanlı Durum
-26,224,Şaşırmış Durum
31,16,Rahatlamış Durum
30,212,Şaşırmış Durum
23,382,Mutlu Durum
-1196,27,Üzgün Durum
-69,21,Rahatlamış Durum
-12,248,Şaşırmış Durum
-89,141,Heyecanlı Durum
-73,270,Sinirli Durum
25,435,Mutlu Durum
4,84,Heyecanlı Durum
-2,23,Rahatlamış Durum
-3092,457,Üzgün Durum
-43,754,Sinirli Durum
-7,235,Şaşırmış Durum
-47,733,Sinirli Durum
-501,592,Üzgün Durum
-58,32,Rahatlamış Durum
35,351,Mutlu Durum
-73,263,Sinirli Durum
-20,453,Üzgün Durum
14,36,Rahatlamış Durum
-8,28,Rahatlamış Durum
-1271,660,Üzgün Durum
-14,162,Şaşırmış Durum
-14,259,Şaşırmış Durum
32,430,Mutlu Durum
27,36,Rahatlamış Durum
23,475,Mutlu Durum
-2688,287,Üzgün Durum
-1075,474,Üzgün Durum
-522,537,Üzgün Durum
-61,139,Heyecanlı Durum
27,393,Mutlu Durum
-5,62,Heyecanlı Durum
6,24,Rahatlamış Durum
26,451,Mutlu Durum
-2858,203,Üzgün Durum
-91,155,Heyecanlı Durum
-545,519,Üzgün Durum
-92,546,Sinirli Durum
28,384,Mutlu Durum
-30,194,Şaşırmış Durum
28,247,Şaşırmış Durum
-12,136,Heyecanlı Durum
17,464,Mutlu Durum
-58,25,Rahatlamış Durum
-39,66,Heyecanlı Durum
-88,726,Sinirli Durum
-84,195,Sinirli Durum
9,24,Rahatlamış Durum
6,23,Rahatlamış Durum
-30,57,Heyecanlı Durum
24,358,Mutlu Durum
-63,31,Rahatlamış Durum
2,25,Rahatlamış Durum
-53,23,Rahatlamış Durum
-682,653,Üzgün Durum
-3127,628,Üzgün Durum
10,173,Şaşırmış Durum
2,171,Şaşırmış Durum
-25,24,Rahatlamış Durum
22,457,Mutlu Durum
21,185,Üzgün Durum
32,452,Mutlu Durum
-2486,308,Üzgün Durum
-1000,89,Üzgün Durum
25,400,Mutlu Durum
23,455,Mutlu Durum
-16,252,Şaşırmış Durum
-2494,714,Üzgün Durum
-69,212,Sinirli Durum
-57,36,Rahatlamış Durum
20,192,Şaşırmış Durum
31,386,Mutlu Durum
-90,105,Heyecanlı Durum
-69,52,Sinirli Durum
23,467,Mutlu Durum
19,21,Rahatlamış Durum
-1,216,Şaşırmış Durum
-37,179,Şaşırmış Durum
-48,485,Sinirli Durum
-96,477,Sinirli Durum
24,480,Mutlu Durum
-4,16,Rahatlamış Durum
4,28,Rahatlamış Durum
-31,122,Heyecanlı Durum
-30,104,Heyecanlı Durum
21,28,Rahatlamış Durum
